,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
10,87.37100000000001,9,9.06,3.58,0.73,-20.1875,8.75,-42.0,0.31444444444444447,0.1922222222222222,-0.043333333333333335,357.5,67.5625,-78.8125,196624384.0,72040448.0,-167886848.0,4194304.0,0.0,-0.07,0.01,9.06,3.66,0.72
11,99.35900000000001,11,9.04,3.61,0.74,-21.75,7.5625,-40.0625,0.33111111111111113,0.19333333333333333,-0.03111111111111111,357.375,67.5625,-78.75,196673536.0,72384512.0,-167690240.0,4505600.0,-0.01,-0.04,0.01,9.06,3.66,0.72
12,106.682,7,9.01,3.64,0.76,-21.75,7.5625,-40.0625,0.33555555555555555,0.19555555555555557,-0.025555555555555557,357.1875,67.5,-78.6875,196706304.0,72712192.0,-167493632.0,4816896.0,-0.05,-0.02,0.03,9.06,3.67,0.73
13,117.837,11,8.9,3.65,0.72,-21.75,7.5625,-40.0625,0.33111111111111113,0.19333333333333333,-0.015555555555555555,357.0,67.5,-78.625,196755456.0,73023488.0,-167297024.0,5128192.0,-0.15,-0.02,-0.01,9.06,3.67,0.73
14,127.15099999999998,9,8.84,3.63,0.73,-21.75,7.5625,-40.0625,0.32666666666666666,0.18666666666666668,-0.006666666666666667,356.8125,67.4375,-78.5625,196788224.0,73318400.0,-167116800.0,5455872.0,-0.21,-0.04,-0.01,9.05,3.67,0.74
15,137.234,10,8.81,3.59,0.74,-21.75,7.5625,-40.0625,0.32222222222222224,0.17777777777777778,-0.005555555555555556,356.625,67.4375,-78.5,196804608.0,73629696.0,-166936576.0,5783552.0,-0.24,-0.09,0.0,9.05,3.68,0.74
16,149.24,12,8.81,3.64,0.76,-23.75,6.75,-38.875,0.3288888888888889,0.16444444444444445,-0.006666666666666667,356.4375,67.4375,-78.5,196820992.0,73924608.0,-166772736.0,6094848.0,-0.24,-0.03,0.01,9.05,3.68,0.74
17,156.443,7,8.79,3.64,0.76,-23.75,6.75,-38.875,0.3333333333333333,0.14222222222222222,-0.01888888888888889,356.25,67.375,-78.5,196820992.0,74252288.0,-166625280.0,6389760.0,-0.26,-0.03,0.01,9.05,3.68,0.74
18,166.829,10,8.76,3.67,0.75,-23.75,6.75,-38.875,0.33111111111111113,0.12,-0.03,356.0625,67.375,-78.5,196804608.0,74579968.0,-166494208.0,6668288.0,-0.29,-0.01,0.0,9.05,3.69,0.74
19,177.401,10,8.8,3.68,0.77,-23.75,6.75,-38.875,0.3233333333333333,0.09,-0.05,355.9375,67.3125,-78.625,196755456.0,74924032.0,-166379520.0,6914048.0,-0.25,-0.01,0.03,9.05,3.69,0.74
20,187.349,9,8.82,3.73,0.82,-23.75,6.75,-38.875,0.31666666666666665,0.058888888888888886,-0.06666666666666667,355.8125,67.3125,-78.6875,196706304.0,75268096.0,-166281216.0,7110656.0,-0.21,0.03,0.08,9.04,3.7,0.73
21,199.367,12,8.83,3.74,0.81,-21.875,7.1875,-38.6875,0.29333333333333333,0.022222222222222223,-0.08333333333333333,355.75,67.25,-78.875,196624384.0,75612160.0,-166215680.0,7274496.0,-0.2,0.03,0.08,9.04,3.71,0.73
22,206.998,7,8.83,3.74,0.84,-21.875,7.1875,-38.6875,0.27666666666666667,-0.015555555555555555,-0.09666666666666666,355.6875,67.1875,-79.0625,196509696.0,75956224.0,-166182912.0,7389184.0,-0.2,0.01,0.12,9.04,3.72,0.71
23,218.13,11,8.86,3.76,0.87,-21.875,7.1875,-38.6875,0.2633333333333333,-0.04888888888888889,-0.10666666666666667,355.625,67.125,-79.25,196395008.0,76283904.0,-166166528.0,7471104.0,-0.17,0.02,0.16,9.03,3.73,0.7
24,227.43,9,8.86,3.82,0.94,-21.875,7.1875,-38.6875,0.23777777777777778,-0.08222222222222222,-0.11222222222222222,355.5625,67.0625,-79.5,196247552.0,76595200.0,-166182912.0,7520256.0,-0.17,0.06,0.25,9.03,3.75,0.69
25,237.50199999999998,10,8.82,3.8,0.95,-21.875,7.1875,-38.6875,0.21444444444444444,-0.10222222222222223,-0.11666666666666667,355.5625,67.0,-79.75,196116480.0,76890112.0,-166215680.0,7536640.0,-0.2,0.04,0.27,9.03,3.76,0.67
26,249.508,12,8.77,3.77,0.94,-22.1875,6.375,-39.0625,0.18888888888888888,-0.11666666666666667,-0.11777777777777777,355.5625,66.9375,-80.0,195985408.0,77168640.0,-166248448.0,7536640.0,-0.25,0.0,0.28,9.02,3.77,0.66
27,256.777,7,8.8,3.72,0.88,-22.1875,6.375,-39.0625,0.17444444444444446,-0.1288888888888889,-0.12222222222222222,355.5625,66.875,-80.25,195837952.0,77430784.0,-166281216.0,7503872.0,-0.21,-0.06,0.23,9.02,3.78,0.64
28,267.241,10,8.87,3.75,0.81,-22.1875,6.375,-39.0625,0.18555555555555556,-0.12777777777777777,-0.12555555555555556,355.5625,66.8125,-80.5,195706880.0,77692928.0,-166330368.0,7487488.0,-0.14,-0.04,0.17,9.01,3.79,0.63
29,277.422,10,8.92,3.72,0.79,-22.1875,6.375,-39.0625,0.22,-0.11888888888888889,-0.1322222222222222,355.5625,66.75,-80.75,195543040.0,78004224.0,-166363136.0,7487488.0,-0.09,-0.08,0.18,9.01,3.81,0.61
30,287.508,10,8.96,3.69,0.79,-22.1875,6.375,-39.0625,0.2733333333333333,-0.09444444444444444,-0.1411111111111111,355.5625,66.6875,-81.0625,195395584.0,78364672.0,-166379520.0,7553024.0,-0.04,-0.13,0.19,9.0,3.82,0.6
31,299.511,12,8.89,3.7,0.79,-21.75,5.1875,-39.375,0.3388888888888889,-0.07,-0.15222222222222223,355.5,66.625,-81.3125,195231744.0,78774272.0,-166363136.0,7651328.0,-0.1,-0.13,0.21,9.0,3.83,0.58
32,306.595,7,8.89,3.77,0.81,-21.75,5.1875,-39.375,0.39666666666666667,-0.03777777777777778,-0.15333333333333332,355.375,66.5625,-81.5625,195084288.0,79265792.0,-166313984.0,7815168.0,-0.1,-0.08,0.24,8.99,3.85,0.56
33,317.23,10,8.85,3.83,0.81,-21.75,5.1875,-39.375,0.4411111111111111,-0.0044444444444444444,-0.15777777777777777,355.25,66.5,-81.8125,194936832.0,79773696.0,-166215680.0,8028160.0,-0.13,-0.03,0.25,8.99,3.87,0.55
34,327.47900000000004,10,8.87,3.95,0.8,-21.75,5.1875,-39.375,0.4811111111111111,0.03777777777777778,-0.15222222222222223,355.125,66.375,-82.0,194822144.0,80330752.0,-166068224.0,8273920.0,-0.11,0.07,0.26,8.98,3.88,0.54
35,337.52700000000004,10,8.85,3.95,0.83,-21.75,5.1875,-39.375,0.5111111111111111,0.07888888888888888,-0.1388888888888889,354.9375,66.3125,-82.1875,194723840.0,80904192.0,-165904384.0,8585216.0,-0.12,0.05,0.29,8.98,3.9,0.53
36,349.662,12,8.83,3.95,0.86,-22.375,5.1875,-39.375,0.55,0.12,-0.13,354.6875,66.1875,-82.3125,194641920.0,81510400.0,-165691392.0,8929280.0,-0.13,0.03,0.33,8.97,3.91,0.52
