,0,1,2,3,4,5,6,7,8,9
42,1831.4060000000002,164,"(-11.53, 1.32, -2.09)","(43.375, 9.5, 5.5625)","(-0.5655555555555556, -1.2722222222222221, -1.1633333333333333)","(-0.5655555555555556, -1.2722222222222221, -1.1633333333333333)","(26.0, -73.5, -147.5)","(0.6048583984375, 0.288818359375, 0.72845458984375, -0.1414794921875)","(-2.32, -0.08, 0.6)","(-9.44, 1.4000000000000001, -2.23)"
43,1873.81,164,"(-11.51, 1.43, -1.76)","(43.375, 10.0, 1.0625)","(-0.5, -0.4011111111111111, -0.7344444444444445)","(-0.5, -0.4011111111111111, -0.7344444444444445)","(26.8125, -75.9375, -149.5625)","(0.61260986328125, 0.27032470703125, 0.7281494140625, -0.14642333984375)","(-1.87, 0.04, 0.27)","(-9.52, 1.1500000000000001, -2.02)"
44,1914.647,164,"(-11.07, 1.1, -1.96)","(43.375, 10.0, 1.0625)","(-0.37, 0.1922222222222222, -0.26)","(-0.37, 0.1922222222222222, -0.26)","(26.5, -76.3125, -152.4375)","(0.61187744140625, 0.26171875, 0.73236083984375, -0.14410400390625)","(-1.17, -0.14, 0.03)","(-9.52, 1.06, -2.07)"
45,1957.8880000000001,164,"(-10.11, 0.66, -2.42)","(43.75, 12.75, 0.5625)","(-0.2311111111111111, 0.33444444444444443, -0.042222222222222223)","(-0.19777777777777777, 0.37666666666666665, -0.005555555555555556)","(25.8125, -75.6875, -153.6875)","(0.6083984375, 0.25860595703125, 0.7371826171875, -0.1395263671875)","(-0.46, -0.54, -0.41000000000000003)","(-9.49, 1.07, -2.2)"
46,1999.973,164,"(-9.5, 0.19, -2.8000000000000003)","(42.6875, 12.6875, 1.875)","(-0.36, 0.5344444444444444, 0.014444444444444444)","(-0.36, 0.5344444444444444, 0.014444444444444444)","(24.8125, -74.75, -154.625)","(0.6015625, 0.25604248046875, 0.74530029296875, -0.13079833984375)","(0.11, -1.04, -0.51)","(-9.450000000000001, 1.1, -2.37)"
47,2045.5009999999997,164,"(-9.09, -0.12, -3.1)","(41.5, 12.6875, 3.0)","(-0.5966666666666667, 0.5311111111111111, -0.15222222222222223)","(-0.5966666666666667, 0.5311111111111111, -0.15222222222222223)","(23.0, -73.5, -156.25)","(0.5963134765625, 0.2491455078125, 0.75335693359375, -0.12158203125)","(0.51, -1.2, -0.76)","(-9.39, 1.11, -2.57)"
48,2089.765,164,"(-8.47, -0.31, -3.42)","(43.375, 13.25, 3.875)","(-0.8722222222222222, 0.3688888888888889, -0.27111111111111114)","(-0.8722222222222222, 0.3688888888888889, -0.27111111111111114)","(21.1875, -72.875, -157.4375)","(0.5928955078125, 0.23394775390625, 0.76287841796875, -0.10845947265625)","(0.78, -1.05, -0.63)","(-9.36, 1.09, -2.68)"
49,2133.908,164,"(-8.44, 0.5, -3.3200000000000003)","(43.375, 14.0, 2.6875)","(-1.0944444444444446, 0.0811111111111111, -0.35)","(-1.0944444444444446, 0.0811111111111111, -0.35)","(19.0, -72.75, -158.125)","(0.594970703125, 0.21673583984375, 0.7679443359375, -0.09637451171875)","(0.92, -0.59, -0.56)","(-9.370000000000001, 1.07, -2.68)"
50,2177.183,36,"(-8.44, 0.42, -3.21)","(43.6875, 12.5, 3.5)","(-1.1788888888888889, -0.3333333333333333, -0.4922222222222222)","(-1.1788888888888889, -0.3333333333333333, -0.4922222222222222)","(16.1875, -73.6875, -158.1875)","(0.60211181640625, 0.19610595703125, 0.76922607421875, -0.08587646484375)","(1.03, -0.85, -0.59)","(-9.43, 0.99, -2.49)"
51,2218.849,164,"(-8.78, 0.32, -2.52)","(46.25, 11.25, 3.0)","(-1.47, -0.8033333333333333, -0.67)","(-1.47, -0.8033333333333333, -0.67)","(13.9375, -75.625, -157.9375)","(0.61993408203125, 0.1622314453125, 0.76422119140625, -0.07257080078125)","(0.89, -0.04, -0.31)","(-9.52, 0.88, -2.16)"
52,2266.9809999999998,36,"(-8.65, 0.54, -2.06)","(46.25, 11.25, 3.0)","(-1.6166666666666667, -0.8011111111111111, -0.64)","(-1.6166666666666667, -0.8011111111111111, -0.64)","(10.625, -78.3125, -157.0)","(0.63531494140625, 0.1326904296875, 0.7584228515625, -0.059326171875)","(0.9500000000000001, -0.54, 0.01)","(-9.6, 0.77, -1.82)"
53,2307.583,164,"(-9.09, 0.68, -1.25)","(42.875, 11.5625, 2.875)","(-1.4877777777777779, -0.7511111111111111, -0.6944444444444444)","(-1.4555555555555555, -0.7366666666666667, -0.6666666666666666)","(8.375, -80.4375, -157.6875)","(0.64886474609375, 0.103759765625, 0.75225830078125, -0.0477294921875)","(0.48, 0.19, 0.4)","(-9.68, 0.5700000000000001, -1.42)"
